data_pull_date,meet_name,meet_date,competitor_1_name,competitor_1_odds,competitor_2_name,competitor_2_odds
2023-06-22,PFL 6,2023-06-23,Alex Martinez,8/11,Bruno Miranda,1/1
2023-06-22,PFL 6,2023-06-23,Natan Schulte,8/15,Raush Manfio,11/8
2023-06-22,PFL 6,2023-06-23,Carlos Leal,4/11,Dilano Taylor,2/1
2023-06-22,PFL 6,2023-06-23,Clay Collard,4/11,Stevie Ray,2/1
2023-06-22,PFL 6,2023-06-23,Magomed Umalatov,1/7,Nayib L�pez,4/1
2023-06-22,PFL 6,2023-06-23,Magomed Magomedkerimov,1/8,David Zawada,9/2
2023-06-22,PFL 6,2023-06-23,Shane Burgos,1/7,Yamato Nishikawa,4/1
2023-06-22,PFL 6,2023-06-23,Sadibou Sy,1/6,Shane Mitchell,7/2
2023-06-22,PFL 6,2023-06-23,Olivier Aubin-Mercier,1/7,Anthony Romero,4/1
2023-06-22,UFC on ESPN 48,2023-07-01,Alexandr Romanov,4/5,Blagoy Ivanov,1/1
2023-06-22,UFC on ESPN 48,2023-07-01,Guram Kutateladze,1/4,Elves Brenner,3/1
2023-06-22,UFC on ESPN 48,2023-07-01,Ivana Petrovic,4/9,Luana Carolina,7/4
2023-06-22,UFC on ESPN 48,2023-07-01,Karol Rosa,1/2,Yana Santos,13/8
2023-06-22,UFC on ESPN 48,2023-07-01,Rinat Fakhretdinov,4/9,Kevin Lee,7/4
2023-06-22,UFC on ESPN 48,2023-07-01,Brunno Ferreira,4/7,Abdul Razak Alhassan,7/5
2023-06-22,UFC on ESPN 48,2023-07-01,Ismael Bonfim,4/11,Benoit Saint-Denis,21/10
2023-06-22,UFC on ESPN 48,2023-07-01,Melissa Gatto,8/13,Ariane Lipski,13/10
2023-06-22,UFC on ESPN 48,2023-07-01,Michael Morales,4/9,Max Griffin,7/4
2023-06-22,UFC on ESPN 48,2023-07-01,Damir Ismagulov,8/13,Grant Dawson,13/10
2023-06-22,UFC on ESPN 48,2023-07-01,Sean Strickland,4/7,Abusupiyan Magomedov,7/5
2023-06-22,UFC on ABC 5,2023-06-24,Cody Brundage,8/15,Sedriques Dumas,6/4
2023-06-22,UFC on ABC 5,2023-06-24,Tatsuro Taira,2/5,Kleydson Rodrigues,2/1
2023-06-22,UFC on ABC 5,2023-06-24,Jamall Emmers,1/2,Jack Jenkins,13/8
2023-06-22,UFC on ABC 5,2023-06-24,Trevor Peek,10/11,Chepe Mariscal,10/11
2023-06-22,UFC on ABC 5,2023-06-24,Tabatha Ricci,8/11,Gillian Robertson,11/10
2023-06-22,UFC on ABC 5,2023-06-24,Mateusz Rebecki,8/13,Loik Radzhabov,13/10
2023-06-22,UFC on ABC 5,2023-06-24,Randy Brown,4/9,Wellington Turman,7/4
2023-06-22,UFC on ABC 5,2023-06-24,Zhalgas Zhumagulov,1/2,Joshua Van,13/8
2023-06-22,UFC on ABC 5,2023-06-24,Neil Magny,4/7,Philip Rowe,7/5
2023-06-22,UFC on ABC 5,2023-06-24,Brendan Allen,8/15,Bruno Silva,6/4
2023-06-22,UFC on ABC 5,2023-06-24,Gabriel Santos,4/9,David Onama,7/4
2023-06-22,UFC on ABC 5,2023-06-24,Justin Tafa,8/15,Austen Lane,6/4
2023-06-22,UFC on ABC 5,2023-06-24,Amanda Ribas,1/2,Maycee Barber,13/8
2023-06-22,UFC 291,2023-07-29,Stephen Thompson,4/9,Michel Pereira,7/4
2023-06-22,UFC 291,2023-07-29,Ikram Aliskerov,4/5,Paulo Costa,1/1
2023-06-22,UFC 291,2023-07-29,Bobby Green,1/5,Tony Ferguson,7/2
2023-06-22,UFC 291,2023-07-29,Jan Blachowicz,4/6,Alex Pereira,6/5
2023-06-22,UFC 291,2023-07-29,Dustin Poirier,8/11,Justin Gaethje,11/10
2023-06-23,UFC 290,2023-07-08,Bo Nickal,1/9,Tresean Gore,11/2
2023-06-23,UFC 290,2023-07-08,Jalin Turner,8/15,Dan Hooker,6/4
2023-06-23,UFC 290,2023-07-08,Robert Whittaker,2/7,Dricus Du Plessis,13/5
2023-06-23,UFC 290,2023-07-08,Brandon Moreno,8/15,Alexandre Pantoja,6/4
2023-06-23,UFC 290,2023-07-08,Alexander Volkanovski,1/5,Yair Rodriguez,7/2
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Kensei Yamakawa,1/1,Ryoga Hirano,8/11
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Marina Kumagai,11/10,Aoi Kuriyama,4/6
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Trent Girdham,4/9,Joji Goto,13/8
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Tatsuya Seki,4/11,Raiki Endo,2/1
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Suguru Nii,4/7,Tateo Iida,5/4
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Saori Oshima,1/3,Haruka Hasegawa,9/4
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Yuta Kubo,4/7,Takeaki Kinoshita,5/4
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Minoru Kimura,2/9,Daryl Lokoku,3/1
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Genji Umeno,1/2,Hiroki Suzuki,6/4
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Hiroaki Suzuki,8/11,Taisei Nishitani,1/1
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Hideki Sekine,11/10,Mikio Ueda,4/6
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Yusuke Yachi,1/3,Zach Zane,9/4
2023-06-23,Rizin 43 - Sapporo,2023-06-24,Kleber Koike Erbst,2/7,Chihiro Suzuki,5/2
2023-06-23,PFL 6,2023-06-23,Abdullah Al-Qahtani,2/5,Lamar Brown,7/4
2023-06-23,PFL 6,2023-06-23,Brahyan Zurcher,3/10,Mike Bardsley,12/5
2023-06-23,PFL 6,2023-06-23,Jarrah Hussein Al-Silawi,11/10,Solomon Renfro,4/6
2023-06-23,PFL 6,2023-06-23,Alex Martinez,4/6,Bruno Miranda,11/10
2023-06-23,PFL 6,2023-06-23,Natan Schulte,1/2,Raush Manfio,6/4
2023-06-23,PFL 6,2023-06-23,Carlos Leal,1/3,Dilano Taylor,9/4
2023-06-23,PFL 6,2023-06-23,Clay Collard,4/11,Stevie Ray,2/1
2023-06-23,PFL 6,2023-06-23,Magomed Umalatov,1/9,Nayib L�pez,5/1
2023-06-23,PFL 6,2023-06-23,Magomed Magomedkerimov,1/14,David Zawada,13/2
2023-06-23,PFL 6,2023-06-23,Shane Burgos,1/7,Yamato Nishikawa,4/1
2023-06-23,PFL 6,2023-06-23,Sadibou Sy,1/8,Shane Mitchell,9/2
2023-06-23,PFL 6,2023-06-23,Olivier Aubin-Mercier,1/7,Anthony Romero,4/1
2023-06-23,UFC on ESPN 48,2023-07-01,Alexandr Romanov,4/5,Blagoy Ivanov,1/1
2023-06-23,UFC on ESPN 48,2023-07-01,Guram Kutateladze,1/4,Elves Brenner,3/1
2023-06-23,UFC on ESPN 48,2023-07-01,Ivana Petrovic,4/9,Luana Carolina,7/4
2023-06-23,UFC on ESPN 48,2023-07-01,Karol Rosa,1/2,Yana Santos,13/8
2023-06-23,UFC on ESPN 48,2023-07-01,Rinat Fakhretdinov,4/9,Kevin Lee,7/4
2023-06-23,UFC on ESPN 48,2023-07-01,Brunno Ferreira,4/7,Abdul Razak Alhassan,7/5
2023-06-23,UFC on ESPN 48,2023-07-01,Ismael Bonfim,4/11,Benoit Saint-Denis,21/10
2023-06-23,UFC on ESPN 48,2023-07-01,Melissa Gatto,8/13,Ariane Lipski,13/10
2023-06-23,UFC on ESPN 48,2023-07-01,Michael Morales,4/9,Max Griffin,7/4
2023-06-23,UFC on ESPN 48,2023-07-01,Damir Ismagulov,8/13,Grant Dawson,13/10
2023-06-23,UFC on ESPN 48,2023-07-01,Sean Strickland,4/7,Abusupiyan Magomedov,7/5
2023-06-23,UFC on ABC 5,2023-06-24,Cody Brundage,8/15,Sedriques Dumas,6/4
2023-06-23,UFC on ABC 5,2023-06-24,Tatsuro Taira,4/11,Kleydson Rodrigues,21/10
2023-06-23,UFC on ABC 5,2023-06-24,Jamall Emmers,4/9,Jack Jenkins,7/4
2023-06-23,UFC on ABC 5,2023-06-24,Trevor Peek,4/5,Chepe Mariscal,1/1
2023-06-23,UFC on ABC 5,2023-06-24,Zhalgas Zhumagulov,4/9,Joshua Van,7/4
2023-06-23,UFC on ABC 5,2023-06-24,Tabatha Ricci,8/11,Gillian Robertson,11/10
2023-06-23,UFC on ABC 5,2023-06-24,Mateusz Rebecki,8/13,Loik Radzhabov,13/10
2023-06-23,UFC on ABC 5,2023-06-24,Randy Brown,4/9,Wellington Turman,7/4
2023-06-23,UFC on ABC 5,2023-06-24,Neil Magny,4/7,Philip Rowe,7/5
2023-06-23,UFC on ABC 5,2023-06-24,Brendan Allen,8/15,Bruno Silva,6/4
2023-06-23,UFC on ABC 5,2023-06-24,Gabriel Santos,4/9,David Onama,7/4
2023-06-23,UFC on ABC 5,2023-06-24,Justin Tafa,8/15,Austen Lane,6/4
2023-06-23,UFC on ABC 5,2023-06-24,Amanda Ribas,4/9,Maycee Barber,7/4
2023-06-23,UFC 291,2023-07-29,Stephen Thompson,4/9,Michel Pereira,7/4
2023-06-23,UFC 291,2023-07-29,Ikram Aliskerov,4/5,Paulo Costa,1/1
2023-06-23,UFC 291,2023-07-29,Bobby Green,1/5,Tony Ferguson,7/2
2023-06-23,UFC 291,2023-07-29,Jan Blachowicz,4/6,Alex Pereira,6/5
2023-06-23,UFC 291,2023-07-29,Dustin Poirier,8/11,Justin Gaethje,11/10
2023-09-14,Oktagon,2023-09-16,Deniz Ilbay,1/2,Marco Novak,6/4
2023-09-14,Oktagon,2023-09-16,Frantisek Fodor,17/10,Vladimir Sikic,9/20
2023-09-14,Oktagon,2023-09-16,Zoran Solaja,1/2,Daniel Hromek,6/4
2023-09-14,Oktagon,2023-09-16,Endrit Brajshori,5/2,Tayo Odunjo,3/10
2023-09-14,Oktagon,2023-09-16,Niko Samsonidse,11/50,Nicolae Hantea,31/10
2023-09-14,Oktagon,2023-09-16,Kerim Engizek,1/10,Matias Juarez,6/1
2023-09-14,Oktagon,2023-09-16,Mohamed Grabinski,5/4,Leandro Silva,3/5
2023-09-14,Oktagon,2023-09-16,Christian Jungwirth,3/10,John Palaiologes,12/5
2023-09-14,Oktagon,2023-09-16,David Kozma,11/20,Bojan Velickovic,13/10
2023-09-14,Oktagon,2023-09-16,Katharina Dalisda,4/6,Jacinta Austin,23/20
2023-09-14,Oktagon,2023-09-16,Louis Gilsmann,17/20,Andreas Michailidis,17/20
2023-09-14,KSW 86,2023-09-16,Oskar Szczepaniak,7/10,Adrian Gralak,11/10
2023-09-14,KSW 86,2023-09-16,Mariusz Joniak,2/5,Miljan Zdravkovic,9/5
2023-09-14,KSW 86,2023-09-16,Filip Stawowy,6/5,Viktor Pesta,13/20
2023-09-14,KSW 86,2023-09-16,Damian Piwowarczyk,3/5,Lukasz Sudolski,13/10
2023-09-14,KSW 86,2023-09-16,Kecper Koziorzebski,13/20,Wiktor Zalewski,23/20
2023-09-14,KSW 86,2023-09-16,Artur Szczepaniak,13/20,Henry Fadipe,23/20
2023-09-14,KSW 86,2023-09-16,Lom-Ali Eskijew,3/4,Dawid Smielowski,21/20
2023-09-14,KSW 86,2023-09-16,Michal Michalski,9/5,Dominik Humburger,5/12
2023-09-14,KSW 86,2023-09-16,Jakub Wiklacz,13/20,Sebastian Przybysz,23/20
2023-09-14,UFC Fight Night 227,2023-09-16,Josefine Knutsson,1/6,Marnic Mann,9/2
2023-09-14,UFC Fight Night 227,2023-09-16,Alex Reyes,3/1,Charlie Campbell,1/4
2023-09-14,UFC Fight Night 227,2023-09-16,Tracy Cortez,4/5,Jasmine Jasudavicius,1/1
2023-09-14,UFC Fight Night 227,2023-09-16,Edgar Chairez,4/9,Daniel Lacerda,7/4
2023-09-14,UFC Fight Night 227,2023-09-16,Roman Kopylov,2/7,Josh Fremd,5/2
2023-09-14,UFC Fight Night 227,2023-09-16,Loopy Godinez,1/5,Elise Reed,7/2
2023-09-14,UFC Fight Night 227,2023-09-16,Fernando Padilla,2/5,Kyle Nelson,2/1
2023-09-14,UFC Fight Night 227,2023-09-16,Daniel Zellhuber,1/3,Christos Giagos,9/4
2023-09-14,UFC Fight Night 227,2023-09-16,Raul Rosas Jr.,1/8,Terrence Mitchell,5/1
2023-09-14,UFC Fight Night 227,2023-09-16,Kevin Holland,6/5,Jack Della Maddalena,4/6
2023-09-14,UFC Fight Night 227,2023-09-16,Alexa Grasso,11/8,Valentina Shevchenko,4/7
2023-09-14,UFC Fight Night 228,2023-09-23,Tim Means,17/10,Andre Fialho,1/2
2023-09-14,UFC Fight Night 228,2023-09-23,Daniel Argueta,5/12,Miles Johns,9/5
2023-09-14,UFC Fight Night 228,2023-09-23,Ricardo Ramos,19/20,Charles Jourdain,4/5
2023-09-14,UFC Fight Night 228,2023-09-23,Bryan Battle,1/2,AJ Fletcher,13/8
2023-09-14,UFC Fight Night 228,2023-09-23,Marina Rodriguez,3/10,Michelle Waterson,5/2
2023-09-14,UFC Fight Night 228,2023-09-23,Bryce Mitchell,7/10,Dan Ige,21/20
2023-09-14,UFC Fight Night 228,2023-09-23,Rafael Fiziev,3/5,Mateusz Gamrot,13/10
2023-09-14,UFC 294,2023-10-21,Paulo Costa,11/4,Khamzat Chimaev,13/50
2023-09-14,UFC 294,2023-10-21,Islam Makhachev,3/10,Charles Oliveira,12/5
2023-09-14,UFC 294,2023-10-21,Nassourdine Imavov,1/1,Ikram Aliskerov,4/5
2023-09-14,UFC Fight Night 230,2023-11-04,Curtis Blaydes,2/1,Jailton Almeida,2/5
2023-09-14,UFC 295,2023-11-12,Jon Jones,3/10,Stipe Miocic,5/2
